StrongsId,ReferenceCount,PartOfSpeech
H0001,1212,masculine noun
H0002,9,masculine noun
H0003,2,masculine noun
H0004,3,masculine noun
H0005,1,proper masculine noun
H0006,184,verb
H0007,7,verb
H0008,2,masculine noun
H0009,4,feminine noun
H0010,1,feminine noun
H0011,5,proper locative noun
H0012,1,masculine noun
H0013,1,masculine noun
H0014,55,verb
H0015,1,feminine noun
H0016,1,masculine noun
H0017,1,interjection
H0018,3,masculine noun
H0019,1,feminine noun
H0020,1,masculine noun
H0021,1,proper feminine noun
H0022,3,proper masculine noun
H0023,1,proper masculine noun
H0024,8,masculine noun
H0025,0,proper masculine noun
H0026,17,proper feminine noun
H0027,5,proper masculine noun
H0028,2,proper masculine noun
H0029,25,proper masculine noun
H0030,12,proper masculine noun
H0031,1,proper masculine noun
H0032,6,proper masculine noun
H0033,3,proper masculine noun
H0034,61,adjective
H0035,1,feminine noun
H0036,1,proper masculine noun
H0037,2,proper feminine noun
H0038,5,proper masculine noun
H0039,2,proper masculine noun
H0040,67,proper masculine noun
H0041,12,proper masculine noun
H0042,4,proper masculine noun
H0043,3,proper masculine noun
H0044,7,proper masculine noun
H0045,1,proper masculine noun
H0046,6,masculine adjective
H0047,17,masculine adjective
H0048,11,proper masculine noun
H0049,5,proper feminine noun
H0050,5,proper masculine noun
H0051,2,proper masculine noun
H0052,25,proper masculine noun
H0053,111,proper masculine noun
H0054,30,proper masculine noun
H0055,1,verb
H0056,39,verb
H0057,8,adjective
H0058,1,feminine noun
H0059,4,proper locative noun
H0060,24,masculine noun
H0061,11,adverb
H0062,2,proper locative noun
H0063,1,proper locative noun
H0064,0,proper locative noun
H0065,3,proper locative noun
H0066,1,proper locative noun
H0067,1,proper locative noun
H0068,273,feminine noun
H0069,8,feminine noun
H0070,2,masculine noun
H0071,1,feminine noun
H0072,3,feminine noun
H0073,9,masculine noun
H0074,63,proper masculine noun
H0075,2,verb
H0076,2,feminine noun
H0077,1,proper locative noun
H0078,2,proper masculine noun
H0079,2,verb
H0080,6,masculine noun
H0081,1,feminine noun
H0082,1,verb
H0083,3,masculine noun
H0084,4,feminine noun
H0085,175,proper masculine noun
H0086,1,interjection
H0087,61,proper masculine noun
H0088,4,proper locative noun
H0089,1,proper masculine noun
H0090,8,proper masculine noun
H0091,5,adjective
H0092,4,feminine noun
H0093,1,collective masculine noun
H0094,1,proper masculine noun
H0095,1,feminine noun
H0096,1,masculine noun
H0097,1,proper locative noun
H0098,9,masculine noun
H0099,1,adjective
H0100,5,masculine noun
H0101,3,masculine noun
H0102,7,masculine noun
H0103,3,verb
H0104,3,feminine noun
H0105,2,masculine noun
H0106,2,masculine noun
H0107,10,feminine noun
H0108,2,masculine noun
H0109,1,verb
H0110,2,proper masculine noun
H0111,0,proper masculine noun
H0112,2,proper masculine noun
H0113,325,masculine noun
H0114,1,adjective
H0115,1,proper locative noun
H0116,57,adverb
H0117,27,adjective
H0118,1,proper masculine noun
H0119,10,verb
H0120,552,masculine noun
H0121,10,proper masculine noun
H0122,9,adjective
H0123,100,proper masculine noun
H0124,3,feminine noun
H0125,6,adjective
H0126,5,proper locative noun
H0127,225,feminine noun
H0128,1,proper locative noun
H0129,1,proper locative noun
H0130,11,adjective
H0131,2,proper locative noun
H0132,3,adjective
H0133,1,proper masculine noun
H0134,57,masculine noun
H0135,1,proper locative noun
H0136,448,masculine noun
H0137,3,proper masculine noun
H0138,26,proper masculine noun
H0139,2,proper masculine noun
H0140,3,proper masculine noun
H0141,2,proper masculine noun
H0142,3,verb
H0143,8,proper noun
H0144,1,proper noun
H0145,2,noun
H0146,2,proper masculine noun
H0147,1,feminine noun
H0148,2,masculine noun
H0149,1,adverb
H0150,2,masculine noun
H0151,2,proper masculine noun
H0152,3,proper masculine noun
H0153,1,feminine noun
H0154,8,proper locative noun
H0155,12,feminine noun
H0156,1,verb
H0157,209,verb
H0158,2,masculine noun
H0159,1,masculine noun
H0160,40,feminine noun
H0161,2,proper masculine noun
H0162,15,interjection
H0163,3,proper locative noun
H0164,9,proper masculine noun
H0165,3,adverb
H0166,1,verb
H0167,3,verb
H0168,345,masculine noun
H0169,1,proper masculine noun
H0170,5,proper feminine noun
H0171,5,proper masculine noun
H0172,6,proper feminine noun
H0173,8,proper noun
H0174,4,masculine noun
H0175,347,proper masculine noun
H0176,321,conjunction
H0177,1,proper masculine noun
H0178,17,masculine noun
H0179,1,proper masculine noun
H0180,3,masculine noun
H0181,3,masculine noun
H0182,11,feminine noun
H0183,25,verb
H0184,1,verb
H0185,7,feminine noun
H0186,1,proper masculine noun
H0187,2,proper masculine noun
H0188,24,interjection
H0189,2,proper masculine noun
H0190,1,interjection
H0191,25,masculine adjective
H0192,2,proper masculine noun
